Index	Date	Time	[uSec]	Freq	Code	Signal	Latitude	Longitude
1507	6/23/2022	19:21:25	438837	150.4	158	108	63.02492	-146.05926
1508	6/23/2022	19:21:30	938917	150.4	158	153	63.02345	-146.05798
1509	6/23/2022	19:21:36	440144	150.4	158	97	63.02172	-146.0563
1510	6/23/2022	19:22:20	446256	150.4	158	84	63.02167	-146.06219
1511	6/23/2022	19:22:25	945840	150.4	158	102	63.02292	-146.06146
1512	6/23/2022	19:22:31	446880	150.4	158	89	63.02444	-146.06087
1513	6/23/2022	19:22:33	7824	150.4	60	123	63.02469	-146.06082
1514	6/23/2022	19:22:37	566096	150.4	51	102	63.02596	-146.06081
1515	6/23/2022	19:22:38	508480	150.4	60	120	63.02621	-146.0608
1516	6/23/2022	19:22:44	10725	150.4	60	88	63.02746	-146.06074
1517	6/23/2022	19:22:51	778053	150.4	57	110	63.02937	-146.06021
1518	6/23/2022	19:23:12	758432	150.4	56	90	63.03384	-146.05626
1519	6/23/2022	19:23:13	688629	150.4	54	86	63.03406	-146.05613
1520	6/23/2022	19:23:14	221275	150.4	98	94	63.03429	-146.05598
1521	6/23/2022	19:23:18	258597	150.4	56	96	63.03514	-146.0553
1522	6/23/2022	19:23:19	188560	150.4	54	109	63.03514	-146.0553
1523	6/23/2022	19:23:19	721509	150.4	98	106	63.03534	-146.05511
1524	6/23/2022	19:23:23	758912	150.4	56	121	63.03616	-146.05438
1525	6/23/2022	19:23:24	688821	150.4	999	119	63.03638	-146.05421
1526	6/23/2022	19:23:25	221829	150.4	98	121	63.03659	-146.05403
1527	6/23/2022	19:23:28	872645	150.4	52	92	63.0372	-146.05347
1528	6/23/2022	19:23:29	123248	150.4	999	96	63.0372	-146.05347
1529	6/23/2022	19:23:29	526944	150.4	999	172	63.03739	-146.05327
1530	6/23/2022	19:23:30	189419	150.4	999	126	63.03739	-146.05327
1531	6/23/2022	19:23:30	722512	150.4	999	130	63.03757	-146.05305
1532	6/23/2022	19:23:34	373061	150.4	52	96	63.03831	-146.05213
1533	6/23/2022	19:23:34	623344	150.4	999	138	63.03831	-146.05213
1534	6/23/2022	19:23:34	832299	150.4	999	128	63.03831	-146.05213
1535	6/23/2022	19:23:35	690053	150.4	999	143	63.03851	-146.0519
1536	6/23/2022	19:23:36	429797	150.4	999	106	63.03871	-146.05165
1537	6/23/2022	19:23:39	873237	150.4	52	119	63.03928	-146.05071
1538	6/23/2022	19:23:40	124277	150.4	55	104	63.03928	-146.05071
1539	6/23/2022	19:23:40	534325	150.4	59	108	63.03944	-146.05035
1540	6/23/2022	19:23:41	191691	150.4	999	87	63.03944	-146.05035
1541	6/23/2022	19:23:41	930469	150.4	999	98	63.03959	-146.04994
1542	6/23/2022	19:23:45	374224	150.4	52	96	63.04004	-146.04808
1543	6/23/2022	19:23:45	626512	150.4	55	82	63.04004	-146.04808
1544	6/23/2022	19:24:04	601083	150.4	100	106	63.04124	-146.03849
1545	6/23/2022	19:24:15	602144	150.4	100	136	63.04238	-146.0335
1546	6/23/2022	19:24:21	103147	150.4	100	101	63.04284	-146.03125
1547	6/23/2022	19:24:26	603712	150.4	100	107	63.0433	-146.02827
1548	6/23/2022	19:25:25	791760	150.4	92	100	63.04923	-146.00027
1549	6/23/2022	19:25:30	828235	150.4	47	101	63.05	-145.9982
1550	6/23/2022	19:25:31	292800	150.4	92	94	63.05	-145.9982
1551	6/23/2022	19:25:44	162699	150.4	42	88	63.05272	-145.99624
1552	6/23/2022	19:25:44	508619	150.4	44	84	63.05294	-145.99644
1553	6/23/2022	19:25:44	890293	150.4	999	84	63.05294	-145.99644
1554	6/23/2022	19:25:46	27637	150.4	45	89	63.05317	-145.99669
1555	6/23/2022	19:25:46	410459	150.4	94	84	63.05338	-145.99697
1556	6/23/2022	19:25:47	230139	150.4	87	97	63.05338	-145.99697
1557	6/23/2022	19:25:49	162763	150.4	42	97	63.05379	-145.99762
1558	6/23/2022	19:25:49	507877	150.4	44	116	63.05399	-145.99795
1559	6/23/2022	19:25:51	26128	150.4	45	104	63.05419	-145.99828
1560	6/23/2022	19:25:52	230997	150.4	87	88	63.05439	-145.99859
1561	6/23/2022	19:25:52	777488	150.4	84	80	63.05459	-145.99889
